episode_E,Exploration Evolution
1973,0.0
1974,0.07339449541284404
1975,0.05555555555555555
1976,0.13793103448275862
1977,0.0
1978,0.05714285714285714
1979,0.14634146341463414
1980,0.12698412698412698
1981,0.16216216216216217
1982,0.05263157894736842
1983,0.11764705882352941
1984,0.05555555555555555
1985,0.11764705882352941
1986,0.03333333333333333
1987,0.06578947368421052
1988,0.18421052631578946
1989,0.058823529411764705
1990,0.10666666666666667
1991,0.12244897959183673
1992,0.12121212121212122
1993,0.025
1994,0.14084507042253522
1995,0.1111111111111111
1996,0.0
1997,0.08333333333333333
1998,0.0
1999,0.09090909090909091
2000,0.06382978723404255
2001,0.05555555555555555
2002,0.16666666666666666
2003,0.12380952380952381
2004,0.07142857142857142
2005,0.13846153846153847
2006,0.0625
2007,0.09174311926605505
2008,0.10810810810810811
2009,0.09859154929577464
2010,0.07042253521126761
2011,0.2727272727272727
2012,0.13043478260869565
2013,0.08
2014,0.10317460317460317
2015,0.1111111111111111
2016,0.13414634146341464
2017,0.0
2018,0.0967741935483871
2019,0.11403508771929824
2020,0.0
2021,0.05
2022,0.04
2023,0.043478260869565216
2024,0.03571428571428571
2025,0.0
2026,0.09523809523809523
2027,0.0625
2028,0.09090909090909091
2029,0.09174311926605505
2030,0.10526315789473684
2031,0.08
2032,0.2727272727272727
2033,0.07407407407407407
2034,0.10891089108910891
2035,0.16666666666666666
2036,0.09278350515463918
2037,0.0851063829787234
2038,0.043478260869565216
2039,0.13636363636363635
2040,0.06097560975609756
2041,0.12
2042,0.2608695652173913
2043,0.13333333333333333
2044,0.1282051282051282
2045,0.06666666666666667
2046,0.10526315789473684
2047,0.09375
2048,0.16326530612244897
2049,0.13636363636363635
2050,0.1111111111111111
2051,0.08247422680412371
2052,0.11627906976744186
2053,0.034482758620689655
2054,0.041666666666666664
2055,0.08421052631578947
2056,0.14545454545454545
2057,0.3125
2058,0.07692307692307693
2059,0.08
2060,0.13043478260869565
2061,0.1
2062,0.034482758620689655
2063,0.09090909090909091
2064,0.11
2065,0.10071942446043165
2066,0.08791208791208792
2067,0.07142857142857142
2068,0.04477611940298507
2069,0.23809523809523808
2070,0.047058823529411764
2071,0.1111111111111111
2072,0.08695652173913043
2073,0.0
2074,0.09090909090909091
2075,0.16666666666666666
2076,0.11538461538461539
2077,0.11764705882352941
2078,0.08333333333333333
2079,0.13636363636363635
2080,0.16129032258064516
2081,0.21428571428571427
2082,0.02857142857142857
2083,0.10526315789473684
2084,0.12307692307692308
2085,0.17647058823529413
2086,0.0625
2087,0.24324324324324326
2088,0.13725490196078433
2089,0.07317073170731707
2090,0.07142857142857142
2091,0.058823529411764705
2092,0.06666666666666667
2093,0.09090909090909091
2094,0.07692307692307693
2095,0.16666666666666666
2096,0.17391304347826086
2097,0.0967741935483871
2098,0.0
2099,0.175
2100,0.0625
2101,0.11538461538461539
2102,0.037037037037037035
